"Date","Time (GMT)","Wind Speed (kn)","Wind Dir (deg)","Wind Gust (kn)","Air Temp (°F)","Baro (mb)","Humidity (%)","Visibility (nm)"
"2022/09/21","01:42","2.53","71","4.08","81.9","1015.6","-","-"
"2022/09/21","01:48","1.75","49","3.3","82.2","1015.6","-","-"
"2022/09/21","01:54","2.92","48","3.3","82.2","1015.6","-","-"
"2022/09/21","02:00","2.92","41","4.08","82.2","1015.7","-","-"
"2022/09/21","02:06","3.11","42","4.08","82","1015.7","-","-"
"2022/09/21","02:12","2.53","47","3.89","82.2","1015.8","-","-"
"2022/09/21","02:18","2.53","59","3.69","82.2","1015.8","-","-"
"2022/09/21","02:24","2.14","58","2.92","81.9","1015.8","-","-"
"2022/09/21","02:30","2.14","48","3.11","82","1015.8","-","-"
"2022/09/21","02:36","2.33","47","3.11","82","1015.8","-","-"
"2022/09/21","02:42","2.72","53","3.3","82.2","1015.8","-","-"
"2022/09/21","02:48","2.14","57","2.92","81.9","1015.8","-","-"
"2022/09/21","02:54","1.94","52","2.92","81.5","1015.8","-","-"
"2022/09/21","03:00","1.94","56","2.53","81.7","1015.8","-","-"
"2022/09/21","03:06","1.56","45","2.72","81.7","1015.8","-","-"
"2022/09/21","03:12","2.14","37","2.72","82","1015.7","-","-"
"2022/09/21","03:18","1.36","54","2.33","81.9","1015.7","-","-"
"2022/09/21","03:24","1.56","47","1.94","81.9","1015.6","-","-"
"2022/09/21","03:30","1.36","50","2.14","81.5","1015.6","-","-"
"2022/09/21","03:36","0.97","60","1.75","81.5","1015.6","-","-"
"2022/09/21","03:42","0.58","74","1.17","81.5","1015.6","-","-"
"2022/09/21","03:48","0.97","54","1.36","81.5","1015.5","-","-"
"2022/09/21","03:54","0.39","55","1.17","81.7","1015.4","-","-"
"2022/09/21","04:00","0.78","53","1.17","81.7","1015.4","-","-"
"2022/09/21","04:06","0.78","132","1.17","81.5","1015.4","-","-"
"2022/09/21","04:12","0","104","1.17","81.1","1015.5","-","-"
"2022/09/21","04:18","0.58","48","1.17","81.3","1015.4","-","-"
"2022/09/21","04:24","0","55","0.19","81.3","1015.4","-","-"
"2022/09/21","04:30","0","40","0.78","81.3","1015.2","-","-"
"2022/09/21","04:36","0","26","0","81.7","1015.1","-","-"
"2022/09/21","04:42","0","26","0","81.1","1015.1","-","-"
"2022/09/21","04:48","0","30","0","81.1","1015","-","-"
"2022/09/21","04:54","0.19","3","0.78","81.7","1015","-","-"
"2022/09/21","05:00","0","73","0.39","81.1","1015","-","-"
"2022/09/21","05:06","0","77","0","81.3","1014.9","-","-"
"2022/09/21","05:12","0.39","11","1.36","81.1","1014.9","-","-"
"2022/09/21","05:18","0","359","0.19","81.1","1014.8","-","-"
"2022/09/21","05:24","0.19","327","0.97","81.1","1014.8","-","-"
"2022/09/21","05:30","1.56","305","2.53","82.2","1014.8","-","-"
"2022/09/21","05:36","1.56","336","2.33","82.2","1014.7","-","-"
"2022/09/21","05:42","0.97","301","3.11","82.6","1014.7","-","-"
"2022/09/21","05:48","0.19","254","1.56","82","1014.6","-","-"
"2022/09/21","05:54","0","316","0.58","81.3","1014.6","-","-"
"2022/09/21","06:00","0","245","0","81.3","1014.6","-","-"
"2022/09/21","06:06","0","18","0","80.8","1014.6","-","-"
"2022/09/21","06:12","0","125","0","80.8","1014.6","-","-"
"2022/09/21","06:18","0","29","0","80.4","1014.6","-","-"
"2022/09/21","06:24","0.78","343","1.75","81","1014.6","-","-"
"2022/09/21","06:30","2.14","334","2.53","81.9","1014.5","-","-"
"2022/09/21","06:36","1.75","338","2.53","82","1014.4","-","-"
"2022/09/21","06:42","2.14","336","2.72","82.2","1014.4","-","-"
"2022/09/21","06:48","1.94","325","2.92","82","1014.4","-","-"
"2022/09/21","06:54","2.72","326","3.11","81.9","1014.4","-","-"
